Label,Discription
1,Warning: This medicine may make you sleepy
2,"Warning: This medicine may make you sleepy. If this happens, do not drive or use tools or machines. Do not drink alcohol"
3,"Warning: This medicine may make you sleepy. If this happens, do not drive or use tools or machines"
4,Warning: Do not drink alcohol
5,Do not take indigestion remedies 2 hours before or after you take this medicine
6,"Do not take indigestion remedies, or medicines containing iron or zinc, 2 hours before or after you take this medicine"
7,"Do not take milk, indigestion remedies, or medicines containing iron or zinc, 2 hours before or after you take this medicine"
8,Warning: Do not stop taking this medicine unless your doctor tells you to stop
9,"Space the doses evenly throughout the day. Keep taking this medicine until the course is finished, unless you are told to stop"
10,Warning: Read the additional information given with this medicine
11,Protect your skin from sunlight—even on a bright but cloudy day. Do not use sunbeds
12,Do not take anything containing aspirin while taking this medicine
13,Dissolve or mix with water before taking
14,This medicine may colour your urine. This is harmless
15,Caution: flammable. Keep your body away from fire or flames after you have put on the medicine
16,Dissolve the tablet under your tongue—do not swallow. Store the tablets in this bottle with the cap tightly closed. Get a new supply 8 weeks after opening
17,Do not take more than . . . in 24 hours
18,"Do not take more than . . . in 24 hours. Also, do not take more than . . . in any one week"
19,"Warning: This medicine makes you sleepy. If you still feel sleepy the next day, do not drive or use tools or machines. Do not drink alcohol"
21,"Take with or just after food, or a meal"
22,Take 30 to 60 minutes before food
23,Take this medicine when your stomach is empty. This means an hour before food or 2 hours after food
24,Suck or chew this medicine
25,Swallow this medicine whole. Do not chew or crush
26,Dissolve this medicine under your tongue
27,Take with a full glass of water
28,Spread thinly on the affected skin only
29,Do not take more than 2 at any one time. Do not take more than 8 in 24 hours
30,"Contains paracetamol. Do not take anything else containing paracetamol while taking this medicine. Talk to a doctor at once if you take too much of this medicine, even if you feel well"
32,Contains aspirin. Do not take anything else containing aspirin while taking this medicine
